,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Periodo,,Industria (B-F),,,,,,Servizi (G-S escluso O),,,,,,,,,,,
,,"Estrazione di minerali da cave e miniere 
(B)","Attività manifatturiere 
(C)","Fornitura di 
energia elettrica, gas, vapore e aria condizionata 
(D)","Fornitura di acqua; reti fognarie, attività di gestione dei rifiuti e risanamento 
(E)","Costruzioni 
(F)",,"Commercio al dettaglio; riparazione di autoveicoli e motocicli 
(G)","Trasporto e magazzinaggio 
(H)","Attività dei servizi di alloggio e ristorazione 
(I)","Servizi di informazione e comunicazione 
(J)","Attività finanziarie 
e assicurative 
(K)","Attività professionali, scientifiche e tecniche 
(M)","Noleggio, agenzie di viaggio, servizi di supporto alle imprese 
(N)","Attività immobiliari, professionali e noleggio (L-N) (a)","Istruzione 
(P)","Sanità e assistenza sociale 
(Q)","Attività artistiche, sportive, di intrattenimento e divertimento 
(R)","Altre attività di servizi 
(S)"
Valori percentuali,,,,,,,,,,,,,,,,,,,
2021,I Trimestre,"0,0","0,4","0,4","0,0","0,3",,"0,3","0,1","0,3","0,7","0,1","0,7","0,4","0,5","0,3","-0,1","0,1","0,1"
,II Trimestre,"0,3","0,2","0,1","0,1","0,3",,"0,2","0,4","0,4","0,0","-0,1","0,1","0,1","0,1","0,4","0,1","0,3","0,4"
,III Trimestre,"-0,3","0,2","0,0","-0,1","-0,1",,"0,1","-0,2","0,0","0,2","0,2","0,0","0,2","0,1","0,3","0,1","0,0","0,2"
,IV Trimestre,"0,5","0,1","-0,1","0,0","0,1",,"0,1","0,1","0,2","0,1","-0,1","0,3","0,2","0,2","0,2","0,2","0,3","0,4"
2022,I Trimestre,"0,3","0,0","0,4","-0,1","0,0",,"0,2","0,1","0,3","0,4","0,1","-0,2","-0,1","-0,1","-0,2","-0,3","0,6","0,2"
,II Trimestre,"0,4","0,0","-0,4","0,1","0,1",,"0,0","0,2","0,1","0,1","0,1","0,7","0,0","0,2","0,1","0,0","-0,2","0,1"
,III Trimestre,"-0,4","0,2","0,3","0,0","0,4",,"0,2","-0,2","0,1","0,1","0,0","-0,3","0,1","0,0","-0,6","0,2","0,2","-0,2"
,IV Trimestre,"0,2","0,0","-0,3","0,3","0,1",,"-0,2","0,1","0,1","-0,4","-0,1","0,0","0,2","0,1","0,4","-0,2","0,4","0,4"
2023,I Trimestre,"0,1","-0,1","0,1","0,0","0,1",,"-0,2","0,1","0,6","0,3","0,2","-0,2","-0,2","-0,1","0,9","0,1","-0,2","-0,5"
,II Trimestre,"0,1","0,1","0,1","0,3","-0,1",,"0,3","-0,2","-0,3","0,0","-0,1","-0,3","-0,1","-0,2","-0,3","0,1","-0,1","0,4"
,III Trimestre,"0,1","-0,2","-0,3","0,1","0,2",,"-0,4","0,2","0,0","-0,2","0,1","-0,2","0,1","0,0","-0,4","0,1","-0,3","0,1"
,IV Trimestre,"-0,2","0,1","0,2","-0,3","0,3",,"0,0","-0,2","0,2","-0,3","-0,1","0,6","0,2","0,3","0,5","-0,2","-0,6","0,1"
2024,I Trimestre,"0,4","-0,1","0,3","0,0","-0,1",,"0,1","0,1","-0,9","-0,2","0,0","-0,4","-0,3","-0,3","0,1","0,0","-0,2","-0,1"
,II Trimestre,"-0,1","-0,1","-0,2","-0,5","-0,2",,"-0,1","0,0","0,3","0,0","0,0","0,0","0,2","0,1","-0,4","-0,1","0,0","-0,8"
,III Trimestre,"-0,4","0,0","0,3","0,0","-0,4",,"0,0","0,2","-0,2","-0,1","-0,1","-0,1","-0,2","-0,1","-0,4","0,1","0,2","0,4"
,IV Trimestre,"-0,3","-0,1","-0,8","0,0","-0,1",,"-0,1","0,0","-0,1","-0,2","0,2","-0,2","0,1","0,0","0,0","0,1","0,0","0,2"
2025,I Trimestre,"-0,4","0,0","0,3","0,0","-0,3",,"0,1","-0,3","0,3","0,2","-0,1","-0,1","0,0","-0,1","-0,5","0,1","0,5","-0,2"
,II Trimestre,"0,2","0,0","0,0","0,2","0,1",,"-0,1","-0,1","-0,4","-0,2","0,0","0,1","-0,1","0,0","0,3","-0,2","-0,3","-0,4"
,III Trimestre,"-0,2","-0,1","0,0","-0,1","0,2",,"0,0","0,0","0,1","-0,1","0,1","0,3","0,1","0,2","0,1","0,1","-0,2","0,0"
,IV Trimestre,"0,1","0,1","-0,3","0,0","0,0",,"0,1","0,3","-0,1","0,1","0,2","-0,6","-0,2","-0,3","-0,2","0,2","0,1","0,2"
,,,,,,,,,,,,,,,,,,,
"(a) Questa voce include le sezioni: L (Attività immobiliari), M (Attività professionali, scientifiche e tecniche) e N (Noleggio, agenzie di viaggio, servizi di supporto alle imprese).",,,,,,,,,,,,,,,,,,,
